morpheme,occurrence,type
tubo,6,neoclassical
velo,5,neoclassical
glotto,5,neoclassical
noto,5,neoclassical
Brit,5,
oxalo,5,neoclassical
wither,5,
ka,5,neoclassical
neur,5,
repro,5,neoclassical
quin,5,neoclassical
silvo,5,neoclassical
parvo,5,neoclassical
auro,5,neoclassical
chiro,5,neoclassical
dactylo,5,neoclassical
alpha,5,neoclassical
etio,5,neoclassical
Sino,5,neoclassical
hapto,5,neoclassical
fos,5,neoclassical
notho,5,neoclassical
thia,5,neoclassical
chylo,5,neoclassical
scapho,5,neoclassical
sym,5,neoclassical
thromb,5,neoclassical
fuco,5,neoclassical
manno,5,neoclassical
batho,5,neoclassical
hept,5,neoclassical
titano,5,neoclassical
sidero,5,neoclassical
naphtho,5,neoclassical
choledocho,5,neoclassical
masto,5,neoclassical
phragmo,5,neoclassical
amido,5,neoclassical
pterygo,5,neoclassical
thalasso,5,neoclassical
hem,5,neoclassical
trypano,5,neoclassical
atlanto,5,neoclassical
vulvo,5,neoclassical
astero,5,neoclassical
argento,5,neoclassical
oö,5,
tarso,5,neoclassical
sporo,5,neoclassical
saccharo,5,neoclassical
steato,5,neoclassical
tectono,5,neoclassical
malaco,5,neoclassical
iono,5,neoclassical
ammonio,5,neoclassical
caco,5,neoclassical
ornitho,5,neoclassical
carb,5,neoclassical
hiero,5,neoclassical
cono,5,neoclassical
cheiro,5,neoclassical
gingivo,5,neoclassical
ballisto,5,neoclassical
boreo,5,neoclassical
medullo,5,neoclassical
historico,5,neoclassical
noso,5,neoclassical
vegeto,5,neoclassical
phrenico,5,neoclassical
bilio,5,neoclassical
coraco,5,neoclassical
coelo,5,neoclassical
alco,5,neoclassical
climato,5,neoclassical
thymo,5,neoclassical
gonado,5,neoclassical
fibrino,5,neoclassical
nulli,5,neoclassical
spongio,5,neoclassical
nega,5,neoclassical
metabo,5,neoclassical
posterio,5,neoclassical
m,5,
prepro,5,neoclassical
anatomo,5,neoclassical
sialyl,5,neoclassical
pentadeca,5,neoclassical
tetradeca,5,neoclassical
carboxy,5,neoclassical
duodeca,5,neoclassical
meteoro,5,neoclassical
prot,4,neoclassical
or,4,
bryo,4,neoclassical
icosa,4,neoclassical
meth,4,neoclassical
amelo,4,neoclassical
arachno,4,neoclassical
Greco,4,
porta,4,neoclassical
plasto,4,neoclassical
